"fid","uid","pid","feed_time","star","comment"
"27","1","1","3/1/2026 15:30:00","5","小新Pro 14 AI元启版真的惊艳！Intel Core Ultra 5处理器运行流畅，14英寸2.8K屏幕色彩细腻，续航一整天完全没问题，Copilot+功能智能实用。"
"28","2","3","4/1/2026 10:20:00","5","小新Pro 16 2026酷睿版：RTX 4050显卡性能强悍，3.2K 165Hz高刷屏视觉效果震撼，做设计渲染速度很快，双雷电4接口扩展性强。"
"29","3","6","5/1/2026 14:45:00","4","拯救者Legion 7a：AMD锐龙AI9处理器+RTX5060组合强大，16英寸OLED电竞屏色彩鲜艳，就是价格有点高，但游戏体验确实顶级。"
"30","4","7","6/1/2026 16:30:00","5","Y9000X 2026轻薄电竞本，2.5K Mini-LED屏显示效果优秀，双烤性能释放160W，既能办公又能游戏，完美平衡。"
"31","5","26","7/1/2026 11:15:00","5","YOGA Pro 16 Aura：串联OLED屏色彩准确度极高，Force Pad触绘板创意设计，作为设计师非常满意！"
"32","6","2","8/1/2026 09:40:00","4","小新Pad教育版：给孩子上网课用，11英寸2K护眼屏效果不错，家长管控功能实用，但骁龙685处理器偶尔会卡顿。"
"33","7","11","9/1/2026 13:25:00","5","小新Pad Pro 12.7：2.9K 144Hz高刷屏看视频超爽，骁龙8 Gen 2处理器性能足够，四扬声器音质震撼，性价比很高。"
"34","8","12","10/1/2026 17:10:00","5","拯救者Y700电竞平板：8.8英寸黄金尺寸，2.5K 144Hz电竞屏玩游戏流畅，双X轴线性马达震动反馈精准，手游神器！"
"35","9","13","11/1/2026 10:55:00","4","启天K10商用平板：企业级安全功能完善，可拆卸键盘实用，4G/5G全互联出差方便，就是价格稍贵。"
"36","10","15","12/1/2026 15:20:00","5","天骄学习平板：类纸护眼屏真的不伤眼，全科学习资源丰富，坐姿提醒功能对孩子很有帮助，家长强力推荐！"
"37","11","5","3/1/2026 12:10:00","5","小新27一体机：27英寸4K大屏办公爽，AMD Ryzen 7处理器性能强劲，B&O音响音质优秀，无线充电底座很实用。"
"38","12","8","4/1/2026 08:45:00","4","拯救者刃9000K：i9-14900KS+RTX4080 SUPER性能怪兽，360水冷散热效果不错，就是机箱太大占地方。"
"39","13","31","5/1/2026 14:30:00","4","天逸510Pro：主流配置够用，预装Office省心，中塔机箱散热良好，适合日常办公和轻度游戏。"
"40","14","32","6/1/2026 16:15:00","5","拯救者刃7000K：i7-14700KF+RTX4060Ti性价比高，240水冷+ARGB光效很酷炫，主流电竞配置首选。"
"41","15","33","7/1/2026 11:50:00","5","天逸510Pro尊享版：至强W5处理器+RTX A4500专业显卡，ECC内存稳定可靠，做3D渲染和视频剪辑效率翻倍。"
"42","16","10","8/1/2026 10:35:00","5","拯救者C27电竞显示器：27英寸2K 180Hz Fast IPS屏，1ms GTG响应快，FreeSync Premium防撕裂，游戏体验流畅。"
"43","17","16","9/1/2026 13:20:00","5","异能者U2418HA-V：4K OLED专业显示器，99% DCI-P3色域，ΔE<1色彩准确，设计修图必备，Type-C 140W反向充电方便。"
"44","18","46","10/1/2026 16:45:00","4","拯救者Y27qf-30：2K 240Hz高刷，HDR400效果不错，支持G-Sync，但品控有待提高，第一台有坏点换货了。"
"45","19","47","11/1/2026 09:30:00","5","ThinkVision P27h-20：4K IPS Black屏对比度高，98% DCI-P3色域，硬件校准功能专业，USB-C 96W一线通方便。"
"46","20","48","12/1/2026 14:15:00","4","瑞天2810P液晶显示器：27英寸2K 200Hz，99% sRGB色域，价格实惠性价比高，适合预算有限的用户。"
"47","21","17","3/1/2026 10:50:00","5","拯救者M600无线鼠标：PAW3395传感器精准，26000DPI可调，轻量化设计握感舒适，三模连接稳定。"
"48","22","18","4/1/2026 15:25:00","4","联想900无线机械键盘：矮轴手感清脆，金属机身质感好，RGB背光酷炫，但键帽容易打油。"
"49","23","19","5/1/2026 11:40:00","5","ThinkPad双模式ANC耳机：Microsoft Teams认证专业，Bose音效出色，混合主动降噪效果好，58小时续航给力。"
"50","24","20","6/1/2026 14:55:00","5","100W氮化镓充电器：双C口设计实用，小巧便携，支持多协议快充，笔记本手机都能充，出差神器。"
"51","25","45","7/1/2026 16:20:00","4","thinkplus会声扩展坞：40Gbps雷电4速度快，双4K输出，90W供电充足，接口丰富，就是价格稍高。"
"52","26","21","8/1/2026 12:30:00","5","至像M280DW打印机：AI语音控制智能，鼓粉分离设计节省耗材，单页成本低至6分钱，办公成本大幅降低。"
"53","27","22","9/1/2026 09:15:00","4","领像M101W打印机：紧凑型设计节省空间，手机直连打印方便，一键身份证复印实用，适合家庭和小型办公室。"
"54","28","23","10/1/2026 15:45:00","3","CS1831彩色喷墨打印机：可加墨式大容量节省成本，打印效果一般，色彩不够鲜艳，适合学生打印作业用。"
"55","29","24","11/1/2026 11:20:00","5","至像L2600DW打印机：商用高速双面打印，自动输稿器效率高，网络打印方便共享，月负荷量大稳定可靠。"
"56","30","25","12/1/2026 17:05:00","4","小新M1照片打印机：便携设计方便携带，无线连接即拍即打，3英寸背胶相纸实用，但相纸成本较高。"
"57","109","5","13/1/2026 17:54:19","5","联想电脑很好，物流很快！"
"58","109","15","13/1/2026 17:59:45","5","很好吃"
"59","110","1","13/1/2026 19:22:31","5","非常号的商品"
"60","107","7","13/1/2026 23:20:48","5","好"
